"id","city_name","latitude","longitude","timestamp","curr_temperature"
87,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:06:49",3.7
88,Lucin,41.346238,-113.905283,"2025-01-09 03:06:49",25.8
89,Brian Head,37.692681,-112.850196,"2025-01-09 03:06:50",8.6
90,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:11:51",28.0
91,Kamas,40.640216,-111.280745,"2025-01-09 03:11:52",14.0
92,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:11:53",3.7
93,Lucin,41.346238,-113.905283,"2025-01-09 03:11:54",25.8
94,Brian Head,37.692681,-112.850196,"2025-01-09 03:11:54",8.6
95,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:16:56",28.0
96,Kamas,40.640216,-111.280745,"2025-01-09 03:16:57",13.9
97,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:16:58",3.4
98,Lucin,41.346238,-113.905283,"2025-01-09 03:16:58",25.7
99,Brian Head,37.692681,-112.850196,"2025-01-09 03:16:59",8.4
100,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:22:00",28.0
101,Kamas,40.640216,-111.280745,"2025-01-09 03:22:01",13.9
102,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:22:02",3.4
103,Lucin,41.346238,-113.905283,"2025-01-09 03:22:03",25.7
104,Brian Head,37.692681,-112.850196,"2025-01-09 03:22:04",8.4
105,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:27:05",28.0
106,Kamas,40.640216,-111.280745,"2025-01-09 03:27:06",13.9
107,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:27:06",3.4
108,Lucin,41.346238,-113.905283,"2025-01-09 03:27:07",25.7
109,Brian Head,37.692681,-112.850196,"2025-01-09 03:27:08",8.4
110,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:32:10",28.0
111,Kamas,40.640216,-111.280745,"2025-01-09 03:32:10",13.6
112,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:32:11",2.9
113,Lucin,41.346238,-113.905283,"2025-01-09 03:32:12",25.6
114,Brian Head,37.692681,-112.850196,"2025-01-09 03:32:13",8.2
115,Salt Lake City,40.400000,-111.850500,"2025-01-09 03:37:14",28.0
116,Kamas,40.640216,-111.280745,"2025-01-09 03:37:15",13.6
117,Mirror Lake,40.701123,-110.887579,"2025-01-09 03:37:16",2.9
